block_cd,yyyy/mm/dd,hh,boost
01101,2022-04-23,0,1.0
01101,2022-04-23,1,1.0
01101,2022-04-23,2,1.0
01101,2022-04-23,3,1.4
01101,2022-04-23,4,1.4
01101,2022-04-23,5,1.4
01101,2022-04-23,6,1.4
01101,2022-04-23,7,1.4
01101,2022-04-23,8,1.4
01101,2022-04-23,9,1.4
01101,2022-04-23,10,1.4
01101,2022-04-23,11,1.4
01101,2022-04-23,12,1.4
01101,2022-04-23,13,1.2
01101,2022-04-23,14,1.2
01101,2022-04-23,15,1.2
01101,2022-04-23,16,1.2
01101,2022-04-23,17,1.6
01101,2022-04-23,18,1.8
01101,2022-04-23,19,1.6
01101,2022-04-23,20,1.2
01101,2022-04-23,21,1.2
01101,2022-04-23,22,1.2
01101,2022-04-23,23,1.2
01101,2022-04-24,0,1.2
01101,2022-04-24,1,1.2
01101,2022-04-24,2,1.2
01101,2022-04-24,3,1.5
01101,2022-04-24,4,1.5
01101,2022-04-24,5,1.5
01101,2022-04-24,6,1.5
01101,2022-04-24,7,1.5
01101,2022-04-24,8,1.5
01101,2022-04-24,9,1.5
01101,2022-04-24,10,1.5
01101,2022-04-24,11,1.5
01101,2022-04-24,12,1.6
01101,2022-04-24,13,1.3
01101,2022-04-24,14,1.2
01101,2022-04-24,15,1.2
01101,2022-04-24,16,1.3
01101,2022-04-24,17,1.7
01101,2022-04-24,18,1.9
01101,2022-04-24,19,1.5
01101,2022-04-24,20,1.1
01101,2022-04-24,21,1.1
01101,2022-04-24,22,1.1
01101,2022-04-24,23,1.1
01101,2022-04-25,0,1.1
01101,2022-04-25,1,1.1
01101,2022-04-25,2,1.1
01101,2022-04-25,3,1.2
01101,2022-04-25,4,1.2
01101,2022-04-25,5,1.2
01101,2022-04-25,6,1.2
01101,2022-04-25,7,1.2
01101,2022-04-25,8,1.2
01101,2022-04-25,9,1.2
01101,2022-04-25,10,1.0
01101,2022-04-25,11,1.1
01101,2022-04-25,12,1.1
01101,2022-04-25,13,1.0
