block_cd,yyyy/mm/dd,hh,boost
1105,2022/5/13,15,1.2
1105,2022/5/13,16,1.3
1105,2022/5/13,17,1.7
1105,2022/5/13,18,1.9
1105,2022/5/13,19,1.5
1105,2022/5/13,20,1.1
1105,2022/5/13,21,1.1
1105,2022/5/13,22,1.1
1105,2022/5/13,23,1.1
1106,2022/5/7,0,1.1
1106,2022/5/7,1,1.1
1106,2022/5/7,2,1.1
1106,2022/5/7,3,1.3
1106,2022/5/7,4,1.3
1106,2022/5/7,5,1.3
1106,2022/5/7,6,1.3
1106,2022/5/7,7,1.3
1106,2022/5/7,8,1
1106,2022/5/7,9,1.2
1106,2022/5/7,10,1.2
1106,2022/5/7,11,1.4
1106,2022/5/7,12,1.4
1106,2022/5/7,13,1.2
1106,2022/5/7,14,1.1
1106,2022/5/7,15,1.2
1106,2022/5/7,16,1.3
1106,2022/5/7,17,2
1106,2022/5/7,18,1.9
1106,2022/5/7,19,1.7
1106,2022/5/7,20,1.2
1106,2022/5/7,21,1.1
1106,2022/5/7,22,1
1106,2022/5/7,23,1
1106,2022/5/8,0,1
1106,2022/5/8,1,1
1106,2022/5/8,2,1
1106,2022/5/8,3,1.2
1106,2022/5/8,4,1.2
1106,2022/5/8,5,1.2
1106,2022/5/8,6,1.2
1106,2022/5/8,7,1.2
1106,2022/5/8,8,1
1106,2022/5/8,9,1.2
1106,2022/5/8,10,1.3
1106,2022/5/8,11,1.8
1106,2022/5/8,12,1.7
1106,2022/5/8,13,1.4
1106,2022/5/8,14,1.4
1106,2022/5/8,15,1.4
1106,2022/5/8,16,1.6
1106,2022/5/8,17,2
1106,2022/5/8,18,2.1
1106,2022/5/8,19,1.8
1106,2022/5/8,20,1.1
1106,2022/5/8,21,1.1
1106,2022/5/8,22,1.2
1106,2022/5/8,23,1.4
1106,2022/5/9,0,1.4
1106,2022/5/9,1,1.4
1106,2022/5/9,2,1.4
1106,2022/5/9,3,1.2
1106,2022/5/9,4,1.2
1106,2022/5/9,5,1.2
1106,2022/5/9,6,1.2
1106,2022/5/9,7,1.2
1106,2022/5/9,8,1.2
1106,2022/5/9,9,1.2
1106,2022/5/9,10,1.1
1106,2022/5/9,11,1.4
1106,2022/5/9,12,1.1
1106,2022/5/9,13,1.1
1106,2022/5/9,14,1
1106,2022/5/9,15,1
1106,2022/5/9,16,1.3
1106,2022/5/9,17,1.6
1106,2022/5/9,18,1.6
